username,how_many_reviews,location,date,rating,rating_title,rating_description,date_of_experience
margaret stewart,1,US,"Apr 4, 2022",Rated 5 out of 5 stars,I called in to cancel my subscription…,I called in to cancel my subscription for the wellness box. Abbey was very helpful and kind. Her attitude is all about customer support.,"April 04, 2022"
Alex K.,1,DE,"Apr 1, 2022",Rated 1 out of 5 stars,When russia attacked Ukraine,"When russia attacked Ukraine, clickbank decided to block all the accounts of russians (it's right) but also Ukrainian accounts... They don't support Ukrainians, they decided to harm us during the period of war. Shame! I will never come back to them!","April 01, 2022"
Susan Brueggemann,1,US,"Mar 31, 2022",Rated 5 out of 5 stars,Abbey was great….fast and informative.,,"March 31, 2022"
Tammi,1,US,"Mar 31, 2022",Rated 5 out of 5 stars,Abbey was a wonderful help to me,Abbey was a wonderful help to me! She was very helpful,"March 31, 2022"
Michelle Woodbury Lieven,1,US,"Mar 30, 2022",Rated 5 out of 5 stars,amazing customer service,"This was a very friendly customer service process.  My questions were answered so quickly.  No waiting, real person to chat with, AMAZING!  Representative gave great recommendations on how to handle and showed me how to find the information I was looking for on my statements to help me get my refund and took care of my cancellation.  Awesome service!","March 30, 2022"
Dianne Tefteller,3,US,"Mar 29, 2022",Rated 5 out of 5 stars,Abbey was most helpful!,Abbey was awesome!  She helped me to rectify the mistake in my order.  She cancelled the original order and I will await the reversal of the charges and then place a new order so there will not be any confusion.Thanks so much!,"March 29, 2022"
Threasa Luttrell,1,US,"Mar 28, 2022",Rated 5 out of 5 stars,Thank you so much Abbey was very…,Thank you so much Abbey was very helpful and quick to respond.,"March 28, 2022"
The Wraith,1,GB,"Mar 28, 2022",Rated 1 out of 5 stars,Unexpected Terrible Experience,"i was so excited for this website but it completely crushed my good expectations about it, i got my account disabled immediately after i was completing my profile, once i clicked in the save button, BOOM! its disabled, Why?? i have no clue! they didn't even explain why. thank you for wasting my time.","March 28, 2022"
Trish Howard,1,US,"Mar 28, 2022",Rated 5 out of 5 stars,Knowledgeable employees make issues easier,Thought this was going to be difficult but Abbey made it easy and pleasant. Knowledgeable in her job. Took no time at all. Thank you.,"March 28, 2022"
Sysy Kaka,1,MN,"Mar 28, 2022",Rated 5 out of 5 stars,It's really different,,"March 28, 2022"
KATHERINE PINION,4,US,"Mar 25, 2022",Rated 5 out of 5 stars,Abbey on live chat is much more user-friendly than exit pier,"Exipure  is not the easiest company to deal with.... not at all user friendly: Website is redundant and misleading. Abby however, on your live chat website was very helpful. I initially thought that Abby was a robot, and that I was getting the runaround again from Exipure. Abby was able to direct me to the proper course of action which I must take to receive my refund. I give Abby a five out of five stars. Thank you, Katherine M. Pinion","March 25, 2022"
Anita Tamez,1,US,"Mar 25, 2022",Rated 5 out of 5 stars,I received the answers I asked for,I received the answers I asked for. Excellence!!,"March 25, 2022"
Jonathan,1,ZA,"Updated Mar 31, 2022",Rated 1 out of 5 stars,I have requested some one to contact me…The email i got from Jennifer the email does not exist.,I have requested some one to contact me urgently but nothing happens .I BELEVE THIS IS A 1005% SCAM,"March 25, 2022"
Janis Clow,3,US,"Mar 24, 2022",Rated 5 out of 5 stars,The customer service was knowledgeable…,The customer service was knowledgeable and handled my problem immediately.  Highly recommend them.,"March 24, 2022"
Martin Astapenko,1,LV,"Mar 24, 2022",Rated 1 out of 5 stars,Could not register because the…,Could not register because the Clickbank says that my country is under some kind of sanction...Since when Latvia (Member State of European Union and member of NATO) is under international sanctions?,"March 24, 2022"
Melissa,2,US,"Mar 23, 2022",Rated 5 out of 5 stars,answered questioned well and fixed my…,answered questioned well and fixed my issue,"March 23, 2022"
Kevin Duvall,2,US,"Mar 23, 2022",Rated 5 out of 5 stars,The customer service was helpful and…,The customer service was helpful and quick to help me.  We have asked for a full refund and she gave me the steps to take before they will issue our full refund.,"March 23, 2022"
CHRISTABEL NAA ANKRAH,1,FR,"Mar 23, 2022",Rated 5 out of 5 stars,Friendly and timely,"The response to my inquiry was timely, helpful and the best.","March 23, 2022"
Ronnie Faust,1,US,"Mar 22, 2022",Rated 5 out of 5 stars,Easy to use.,Chat service with Abbey was super helpful and easy to use.,"March 22, 2022"
Sally,2,US,"Mar 22, 2022",Rated 5 out of 5 stars,Abbey helped me in a timely fashion and…,Abbey helped me in a timely fashion and did not hassle me about my return.,"March 22, 2022"
Darren Thompson,1,GB,"Mar 22, 2022",Rated 5 out of 5 stars,I could not login to my account,"I could not login to my account, so I asked for help. The person who helped me was very helpful and professional at all time. Thank you","March 22, 2022"
Fayaz Nabi,1,PK,"Mar 22, 2022",Rated 2 out of 5 stars,I am trying 5 to 6 times to create…,I am trying 5 to 6 times to create account in click bank but his not accepting my request,"March 22, 2022"
Mr John Spooner,32,GB,"Mar 21, 2022",Rated 4 out of 5 stars,Manuel was helpful but it remains to be…,Manuel was helpful but it remains to be seen if issue has been resolved otherwise it would have been 5 stars.,"March 21, 2022"
Ruthann Monterosa,2,US,"Mar 21, 2022",Rated 5 out of 5 stars,"Abbey was most helpful, EXCELLENT!",Abbey was most helpful. A pleasure to communicate with. Explained the process to correct my order. Excellent service.,"March 21, 2022"
Linda L.,6,US,"Mar 21, 2022",Rated 5 out of 5 stars,I just chatted with Victor,I just chatted with Victor.   He was very helpful and extremely nice to work with!,"March 21, 2022"
Caryn J,1,US,"Mar 21, 2022",Rated 5 out of 5 stars,Abbey was awesome and very helpful.,,"March 21, 2022"
Ali Business,1,QA,"Mar 20, 2022",Rated 5 out of 5 stars,good website and i hope to create also…,good website and i hope to create also app like our website,"March 20, 2022"
Jene' Rossini,1,US,"Mar 19, 2022",Rated 1 out of 5 stars,I was going to place an order,"I was going to place an order, then all the ""special offers"" started. I thought that I was replacing the original order with the ""special offer"", not adding to it. Then when I found out the difference and I saw that they were Still charging me shipping on the original order! Then they started with the vitamin offers, as if spending close to $400 wasn't enough! Then as I continued to read he states that if you stop taking all of this you will revert right back to where you started. SORRY, I'M NOT DOING THAT.","March 19, 2022"
Shailesh Tiwari,1,IN,"Mar 19, 2022",Rated 1 out of 5 stars,Not accept signup,I am trying 5 to 6 times to create account in click bank but his not accepting my request,"March 19, 2022"
Renus Luna,2,US,"Mar 18, 2022",Rated 5 out of 5 stars,Everything was very professional,"Everything was very professional. Quick, easy, and very informed.","March 18, 2022"
Marius Ross,1,LT,"Mar 18, 2022",Rated 1 out of 5 stars,I dont can make account,I dont can make account. is very bad. I not have any contact for support,"March 18, 2022"
HempDerivedTHC Blog,1,US,"Mar 17, 2022",Rated 5 out of 5 stars,thanks for helping!,I needed to cancel a trial for a product and the service representative was quick and fantastic!,"March 17, 2022"
Anna Gaeta-Ulas,6,US,"Mar 17, 2022",Rated 5 out of 5 stars,I needed to cancel a partial part of my…,I needed to cancel a partial part of my order due to budget concerns. Lourdes was very quick to solve my problem and issued a refund ticket.,"March 17, 2022"
wanda futch,1,US,"Mar 15, 2022",Rated 5 out of 5 stars,First Class Customer service,"First Class Customer service, Tracey is the agent who helped me.","March 15, 2022"
Trevor Badzinski,1,US,"Mar 15, 2022",Rated 5 out of 5 stars,I'm too distracted to write anything…,I'm too distracted to write anything detailed. But Abbey was f***ing fantastic and quite helpful.,"March 15, 2022"
Rashel Miajee,3,BD,"Mar 15, 2022",Rated 5 out of 5 stars,Clickbank is not working in my location…,Clickbank is not working in my location bangladesh. What's the reason?,"March 15, 2022"
RV,1,US,"Mar 15, 2022",Rated 5 out of 5 stars,Great service,"Abbey was kind, and understanding. Helped me with my needs.","March 15, 2022"
Jason Cabral,2,US,"Mar 15, 2022",Rated 5 out of 5 stars,Thanks guys for the quick responses,Thanks guys for the quick responses. Every question is met by a proper explanation and additional information that I find very helpful.,"March 15, 2022"
Colette,1,US,"Mar 15, 2022",Rated 5 out of 5 stars,Abbey was great she answered my…,Abbey was great she answered my question very well.  She did GREAT,"March 15, 2022"
jalaluddin baloch,1,US,"Updated Mar 15, 2022",Rated 1 out of 5 stars,Why Iam not going to be registered or…,Why Iam not going to be registered or signed up?Iam from Karachi Pakistan,"March 15, 2022"
esmeralda gjoka,1,AL,"Mar 15, 2022",Rated 1 out of 5 stars,I am from Albania,"I am from Albania. I have tried several times to register in click bank, but it is impossible. I sent an email to supportclickbank, but I did not receive a reply.","March 15, 2022"
Rabbia Ahmad,1,PK,"Mar 15, 2022",Rated 1 out of 5 stars,Clickbank is not working in my location…,Clickbank is not working in my location Pakistan. What's the reason?,"March 15, 2022"
Vedprakash Mandloi,1,IN,"Mar 15, 2022",Rated 5 out of 5 stars,Ok but no registeretion to click bank,,"March 15, 2022"
Cheryl Cloyd,1,US,"Mar 14, 2022",Rated 1 out of 5 stars,I tried to print out the terms and…,"I tried to print out the terms and couldn't. It just printed the 1st page on both sides. Then I couldn't join because the arrow for country wouldn't show, and it wouldn't let me type in that spot. Get a new IT man or woman! I also just wanted to join to get rid of the wellness pack. It couldn't be bypassed without checking a box. And it's $100/month after the initial trial","March 14, 2022"
Anne Jordan,1,GB,"Mar 14, 2022",Rated 5 out of 5 stars,Swift response,Thresia was very helpful and resolved my situation within a matter of minutes. Excellent customer service.,"March 14, 2022"
CRYSTAL,3,US,"Mar 14, 2022",Rated 5 out of 5 stars,Very Professional and Knowledgeable…,Abbey was very professional and helpful. Thank you for a smooth resoulutiong to my issue.,"March 14, 2022"
Judith C. Fields,9,US,"Mar 14, 2022",Rated 5 out of 5 stars,It was a pleasure to work with Lourdes…,It was a pleasure to work with Lourdes regarding the necessary cancellation of an order I placed.She was efficient and knowledgable and the entire process was done in a timely manner.Thank you so much !!!,"March 14, 2022"
Randeep,1,GB,"Mar 12, 2022",Rated 5 out of 5 stars,Support Chat,5 stars. My problem was dealt with ease and efficiency. Thank you to Thresia for your help.,"March 12, 2022"
Anonymous,1,US,"Mar 11, 2022",Rated 5 out of 5 stars,Abbey was great!,Abbey was great. Very helpful and quickly got me what I needed. Thank you,"March 11, 2022"
Pat Wesselmann,1,US,"Mar 11, 2022",Rated 5 out of 5 stars,Abbey did a wonderful job on answering…,Abbey did a wonderful job on answering my questions.  She was fast and effective.  You have a great employee,"March 11, 2022"
Harmonic Life,1,US,"Mar 11, 2022",Rated 1 out of 5 stars,I m from turkey but i m not living in…,"I m from turkey but i m not living in the turkey last 7 years. i opened the clicbank account in the mexico and my all information is mexican. but clicbank directly deliced my account because my name is turkish. i can understand the company has a problem with some goverment and for close service for that country but its shoudnt meaning the all people from this country. in the germany, usa, or other many contry has a big turkish population. they are not living in the turkey. logicaly have to no problem getting clicbank acount but sistem when its saw the turkish name directly baned.this is very clearly RACISM.","March 11, 2022"
Shridhar Mahishi,1,IN,"Mar 11, 2022",Rated 5 out of 5 stars,I am much interested  to know more…,"I am much interested  to know more about "" how this all affiliate marketing is done .I hope "" the Risk Management  System  "" may permit  me to launch  my ambitious  venture. Its all looking bright, full of opportunities, for deep dive on to affiliate  marketing  strategies.  Thanking  you","March 11, 2022"
Rajuk,1,NL,"Mar 11, 2022",Rated 5 out of 5 stars,this very good platform  for affiliate…,this very good platform  for affiliate marketing passive income,"March 11, 2022"
Репина Елизавета,1,US,"Updated Mar 11, 2022",Rated 1 out of 5 stars,"Bad company, not recommand","Bad company, dont give money from my account. I written to support, and have not an answer till now, after a week! This is a serios company??","March 11, 2022"
D Waits,2,US,"Mar 10, 2022",Rated 5 out of 5 stars,Agent Mariel flipped bad to great!!…,"Agent Mariel turned my  Clickbank experience around with her genuine Concern, care and handling so far….She’s an Excellent Agent and if she follows through as promised, she deserves a raise!!!","March 10, 2022"
HJ,1,US,"Mar 10, 2022",Rated 5 out of 5 stars,Refund,I am waiting for a refund and Abbey has taken the time to investigate the refund for me,"March 10, 2022"
Lakshana Ramesh,1,LK,"Mar 8, 2022",Rated 5 out of 5 stars,Unable to create new account,"I am unable to create new account in clickbank because of Risk Management System. Therefore, I ask you please take some necessary step to help me, as soon as possible.","March 08, 2022"
Travis Odland,1,CA,"Mar 7, 2022",Rated 5 out of 5 stars,Paola and every representative I've had…,"Paola and every representative I've had with click bank was very helpful, kind and thorough. I would highly recommend this company. They obviously prioritize customer service above all else.","March 07, 2022"
Adam,21,CA,"Updated Mar 6, 2022",Rated 1 out of 5 stars,They banned me for trying to create an account,The registration form kept rejecting me before I could even create an account. I contacted support and they told me I was banned. Apparently they banned me for trying to create an account.It must be nice to have a business that makes so much money you can go out of your way to block people from signing up and still make money. I can't imagine having a business and then banning everyone as soon as they walk in the door. I've never been so insulted.,"March 06, 2022"
Dave Keizur,1,US,"Mar 4, 2022",Rated 5 out of 5 stars,Abbey was great,Abbey was great. She handled my request quickly and I greatly appreciate that.,"March 04, 2022"
Tequilla Castillo,1,US,"Mar 3, 2022",Rated 5 out of 5 stars,Good easy and fast,"Good easy and fast , good experience","March 03, 2022"
Rafael Lopez,1,US,"Mar 3, 2022",Rated 5 out of 5 stars,Perfect chat,Perfect. Quick,"March 03, 2022"
Nageen Fathima,5,AE,"Mar 3, 2022",Rated 2 out of 5 stars,I rated 5 stars but its been 7 days and…,I rated 5 stars but its been 7 days and I still didn't get my refund,"March 03, 2022"
Elizabeth W McLean,1,US,"Mar 2, 2022",Rated 5 out of 5 stars,Cancellation request was handled professionally and quickly.,My request was handled quickly and thoroughly. I was very pleased. I felt totally taken care of in a professional manner.,"March 02, 2022"
Zewdi Reda,2,US,"Mar 2, 2022",Rated 5 out of 5 stars,The service was fast and they were able…,The service was fast and they were able to resolve my issue right away.,"March 02, 2022"
Edie Lopez,1,US,"Mar 1, 2022",Rated 5 out of 5 stars,I duplicated an order,I duplicated an order. Had a live chat with Abbey. She was able to resolve my issue. Promptly. She is extremely professional. I appreciate great customer service. Thank you Abbey,"March 01, 2022"
Anthony Maszerowski,1,US,"Mar 1, 2022",Rated 5 out of 5 stars,Teresa was one of a kind,Teresa was one of a kind. She looked into finding my info so I could receive my refund. Thank you. Need more people like her.,"March 01, 2022"
Singh Atul,1,IN,"Mar 1, 2022",Rated 4 out of 5 stars,Issue in Signup for new account,Hey I'm Atul from India I am having issue in sign up Please help me ......,"March 01, 2022"
Abdi Abdullahi,1,ET,"Feb 27, 2022",Rated 5 out of 5 stars,Excellent thank you,,"February 27, 2022"
Deepa Baroi,1,IN,"Feb 27, 2022",Rated 2 out of 5 stars,"Hii clickbank,","Hii clickbank,I have a request for you. I creating account last two days but the page not accept I don't know why? This option joint clickbank show processing. Therefore, I request you please take some necessary steps as soon as possible.","February 27, 2022"
Lisa,2,US,"Feb 25, 2022",Rated 5 out of 5 stars,That was quick!,I just experienced a Live Chat with Abbey at Clikbank.  I was confused by an order I placed and Abbey replied immediately with a clear and complete explanation.  My request was completed in minutes and I am completely satisfied.  A rare instance these days. Thanks for the pleasant transaction Abbey!,"February 25, 2022"
Baronice,1,NA,"Feb 25, 2022",Rated 5 out of 5 stars,Thank you Abbey for your excellent…,Thank you Abbey for your excellent service.  I am looking forward to doing business with you in the future. You were of great help to me and I really appreciate it.  Have a super awesome day.,"February 25, 2022"
Nicky Van der Vlies,2,ZA,"Feb 25, 2022",Rated 1 out of 5 stars,Went through the registration process…,Went through the registration process and as soon as n finished it said my account was suspended. Didnt even get a chance to log in why is that?,"February 25, 2022"
Eulogio Picazo,1,CA,"Feb 24, 2022",Rated 5 out of 5 stars,Faster service good communication  nice…,Faster service good communication  nice agent,"February 24, 2022"
Barbara Heacock,1,US,"Feb 24, 2022",Rated 5 out of 5 stars,Great Customer Service,I entered my address incorrectly.Abbey graciously helped with her input of my correct address.Thank you very much!,"February 24, 2022"
Ann-Marie Lisi,1,US,"Feb 24, 2022",Rated 5 out of 5 stars,Going thru chat was quick and easy,Going thru chat was quick and easy. Was able to get my issued result with no problem. Abbey did a great job.,"February 24, 2022"
Pawan kumar gupta,19,IN,"Feb 24, 2022",Rated 5 out of 5 stars,"wow the great and big surprise ,and…","wow the great and big surprise ,and please  fix my order quickly!!Can’t wait to get product and post about my results!!Thank you!!","February 24, 2022"
ANIKET TALMALE,1,IN,"Feb 24, 2022",Rated 1 out of 5 stars,System not a accept me as a member,Hello there I want to singing up at click bank account as affiliate but the The System not a accept me as a member and not write the reason !,"February 24, 2022"
Zainab,1,KW,"Feb 23, 2022",Rated 1 out of 5 stars,Hi there I want to start singing up at…,Hi there I want to start singing up at click bank account as affiliate but the The System not a accept me as a member and not write the reason !,"February 23, 2022"
Adelaida Amezola Westbrooks,2,US,"Feb 23, 2022",Rated 5 out of 5 stars,Great customer service 🤩Abbey was very…,Great customer service 🤩Abbey was very helpful in processing my request. She was able to fix my order quickly!! Can’t wait to get product and post about my results!! Thank you!!,"February 23, 2022"
customer,4,US,"Feb 23, 2022",Rated 5 out of 5 stars,Lourdes did a good job,Lourdes did a efficient job. She resolve my problem too fast.,"February 23, 2022"
C.Y.P,1,GB,"Feb 22, 2022",Rated 5 out of 5 stars,Very fast and helpful,"Very fast and helpful, Abbey provided answers to my inquiries and fixed my problem instantly.","February 22, 2022"
Barry Ostrowski,1,US,"Feb 22, 2022",Rated 5 out of 5 stars,Very helpful,,"February 22, 2022"
Swapnil Bhise,1,IN,"Feb 21, 2022",Rated 1 out of 5 stars,Very bad experience about clickbank,Very bad experience about clickbank. After opening account one day later my clickbank account suspended. Without any sale and promotion how could this. They don't want give a payments to their affiliate marketers. That's why they suspend so many accounts. Very bad experience I got from clickbank.,"February 21, 2022"
Akshay Devare,1,IN,"Updated Feb 20, 2022",Rated 1 out of 5 stars,One of the third class and thief…,One of the third class and thief company I have ever seen in the world as an affiliate if we did any sale then clickbank automatically suspend account without any reasons they don't want to give payment to affiliate that why. They try to keep as much as possible payment and block affiliate accounts for not to give them payments. very bad experience.,"February 20, 2022"
Nanobomb,11,PL,"Feb 19, 2022",Rated 1 out of 5 stars,This is impossible to start working…,"This is impossible to start working with with strange company, moreover they send emails which you can not unsuscribe from. Lost time and not recommended to even try. This should be banned by spamhouse asap.","February 19, 2022"
Adrinne,3,US,"Feb 17, 2022",Rated 5 out of 5 stars,The agent,"The agent,  Kate, was very kind and helpful.  She resolved my problem and was very knowledgeable. Thank you.","February 17, 2022"
Charlette Wiley,1,US,"Feb 17, 2022",Rated 5 out of 5 stars,Kayla was great at assisting me with my…,Kayla was great at assisting me with my needs!,"February 17, 2022"
Gail,3,US,"Feb 17, 2022",Rated 5 out of 5 stars,Abbey was very helpful in deal with my…,Abbey was very helpful in deal with my order.  Thank You,"February 17, 2022"
Antzzz Gia,1,AU,"Feb 17, 2022",Rated 1 out of 5 stars,signed up and got shafted,"went to sign up and complete my account, put in all my details and my account gets disabled immediately for no reason.","February 17, 2022"
Kelsey Smith,1,US,"Feb 16, 2022",Rated 5 out of 5 stars,Abbey was very helpful and did what I…,Abbey was very helpful and did what I asked,"February 16, 2022"
Gewalt-Coaching&Unterstützung,20,AT,"Feb 16, 2022",Rated 5 out of 5 stars,"""Better late than never""…","I would like to thank all the people I have met who have recently entered my life.  For a long time I didn't know who I was talking to. It was my inner restlessness that gave me a strange feeling of insecurity and lack of trust. Today I know who I was talking to and who I met.For your willingness to help, your good heart, your kindness and your patience, I say a heartfelt ""thank you"" today. gaby grazyna","February 16, 2022"
Al,3,US,"Feb 15, 2022",Rated 5 out of 5 stars,I worked with Abbey,"I worked with Abbey. She was thorough and gave quick, excellent service","February 15, 2022"
Leslie Hill,1,AU,"Feb 15, 2022",Rated 5 out of 5 stars,Abbey was very quick and helpful.,,"February 15, 2022"
Roxanne Dorina Marie Joncas,2,CA,"Feb 14, 2022",Rated 5 out of 5 stars,The agent that helped me,"The agent that helped me, Abbey, was really helpful and really nice. But the experience I've had with another agent a few weeks ago was absolutely horrible. But Abbey respected my time and she treated me as a valued individual and was also able to resolve my problem.","February 14, 2022"
Robert Battishill,1,US,"Feb 14, 2022",Rated 5 out of 5 stars,"I ordered a ""Free"" flashlight and was…","I ordered a ""Free"" flashlight and was offered a ""Free"" case. After ordering, I discovered that it included a subscription (approx $40). I immediately cancelled the order for the case.Today I received shipping notices for both. I contacted the company and chatted with Tracy. She was very helpful and provided me with a refund.My opinion is that the ""Free"" offer is a tricky way to get subscriptions. I hope that the flashlight is not as disappointing as the order process.","February 14, 2022"
Austin Duff,1,US,"Feb 14, 2022",Rated 5 out of 5 stars,Cancellation,Quick and easy,"February 14, 2022"
Slavka Macicka,1,AU,"Feb 11, 2022",Rated 5 out of 5 stars,Resolve the issue fast,"Hi, My name is Luba. I had a chat with Abbey and she was extremely helpful, very professional and resolved my inquiry very fast. I highly appreciate the help i got. Very very pleasant, i am really satisfied. Thank you. Luba","February 11, 2022"
Varghese Abraham,5,GB,"Feb 11, 2022",Rated 5 out of 5 stars,Kayla was very helpful in answering my…,Kayla was very helpful in answering my queries and helping me!,"February 11, 2022"
Suraj Singh,1,IN,"Feb 10, 2022",Rated 5 out of 5 stars,Very good market,,"February 10, 2022"
Sinclair Chaffee,3,US,"Feb 10, 2022",Rated 5 out of 5 stars,timely manner.,Everything happened in a timely manner.  My needs were taken care of quickly.,"February 10, 2022"
RUTH YOWA,1,CA,"Feb 10, 2022",Rated 5 out of 5 stars,It was good they reply fast and they…,It was good they reply fast and they help with what yoh want,"February 10, 2022"
Catherine Hassell,6,US,"Feb 9, 2022",Rated 5 out of 5 stars,Costumer service is very great.Abbey…,Costumer service is very great.Abbey helped me out very well.she did a wonderful job in helping to cancel my subscription. Not that I wanted to.i do not like e-books.wish they had hard covers.,"February 09, 2022"
Uturbina,3,US,"Feb 9, 2022",Rated 5 out of 5 stars,Very quick response,"Very quick response, and very willing to assist.","February 09, 2022"
Nariman Hazem Ibrahim Abu Khai,2,TR,"Feb 9, 2022",Rated 1 out of 5 stars,I tried to register for the affiliate…,"I tried to register for the affiliate programs that you have , but unfortunately , you only need influencer , popular people , to promote your products .this's soo mean and unprofessional way to deal with people .","February 09, 2022"
Gene,1,US,"Feb 7, 2022",Rated 5 out of 5 stars,Your CS Rep was Kayla - very professional,"Your CS Rep was Kayla. She was fantastic, extremely professional. I needed to cancel a purchase and Kayla processed my request in a professional manner.","February 07, 2022"
customer,3,US,"Feb 7, 2022",Rated 5 out of 5 stars,Abbey was a great help,Abbey was a great help. She answered all of my questions very clearly. She was also very professional about it. Thanks!,"February 07, 2022"
AK App,1,IN,"Feb 7, 2022",Rated 5 out of 5 stars,This Web site link,,"February 07, 2022"
jane Fitz,1,GB,"Feb 6, 2022",Rated 1 out of 5 stars,"Clickbank Support Team - Disrespectful, Psychologically Abusive, Unhelpful, Unfriendly, Unempathic, Zero Communication Skills","I have been unable to access my Clickbank account, which I opened over a decade ago, and which was never used.  When I tried to access it a few weeks ago (January 2022), I discovered that I was unable to access it.  When I contacted Customer Support at Clickbank, I was told that I would not be able to access it, there was nothing they could do about it, that I should wait three months and then try again, and they could not even provide me with the reason for my account not being accessible.  Customer reps did not provide me with any reason as to why this has happened or provide me with any assistance on how to either re-access it or on how to open a new account.  The quality of customer service - based on my personal experience, is APPALLING. I have written to them requesting further information and they have refused to provide any, so I have absolutely no idea at all why I am unable to access my account, an account I opened years ago, and which I have never used.  I have written to them this evening to enquire about how to go about making a formal complaint to the CEO/senior management at Clickbank about the very poor quality customer support received. Based on my personal, subjective experience, it seems the Customers Support Reps have zero communication skills, zero genuine empathy, and don't really give a damn about the abysmal customer support service they provide to clients/potential business partners and/or customers.Overall rating of Clickbank Customer Support: 0/5","February 06, 2022"
Momita k,1,IN,"Feb 6, 2022",Rated 5 out of 5 stars,Excellent 👍👍,,"February 06, 2022"
Chih Yeh,1,US,"Feb 5, 2022",Rated 2 out of 5 stars,"The ads are too long to watch,..","The ads are too long to watch,...  get to the point faster and you will hold people","February 05, 2022"
DAPO .O,8,GB,"Updated Feb 4, 2022",Rated 5 out of 5 stars,Abbey dealt with my query with great…,Abbey dealt with my query with great professionalism .,"February 04, 2022"
Cathie,2,US,"Feb 4, 2022",Rated 5 out of 5 stars,Abbey took care of everything,Abbey took care of everything!  Thank you!,"February 04, 2022"
Ernie Torres,1,US,"Feb 4, 2022",Rated 5 out of 5 stars,Very content with Abbys fast reply,,"February 04, 2022"
Stacey Y Lee,2,US,"Feb 4, 2022",Rated 5 out of 5 stars,Abbey was very efficient and helpful,Abbey was very efficient and helpful. She took care of my request quickly and professionally.,"February 04, 2022"
Carlos Munoz,4,GB,"Feb 4, 2022",Rated 5 out of 5 stars,I would like to write a nice review…,I would like to write a nice review about abbey who helped me with my cancellation request. It was very quick and useful 5star👍,"February 04, 2022"
Karie A deGannes Kneading To R,2,TT,"Feb 4, 2022",Rated 5 out of 5 stars,Abbey was very helpful and solved my…,Abbey was very helpful and solved my problem quickly,"February 04, 2022"
erwin,2,IL,"Feb 4, 2022",Rated 1 out of 5 stars,the site is not responding,"the site is not responding, the use of the buttons is restricted or unavailablelooks like a big smooth scam","February 04, 2022"
Judy Mason,1,US,"Feb 3, 2022",Rated 5 out of 5 stars,No Dentitox Delivery.,"My Dentitox was supposidly delivered on 6Jan22. I never rec'd it. Please send me the bottle I ordered on 28 Dec 21. Thank U, Judy Mason","February 03, 2022"
Cendeline Metelus,1,US,"Feb 3, 2022",Rated 5 out of 5 stars,It was really great,"It was really great, the person I was speaking to abbey really helped a lot.","February 03, 2022"
Janice,11,US,"Feb 3, 2022",Rated 5 out of 5 stars,Abbey was very knowledgeable and…,Abbey was very knowledgeable and helpful with the order that I need to return. She was fantastic!,"February 03, 2022"
Tempest Louden,1,US,"Feb 3, 2022",Rated 5 out of 5 stars,Abby - very helpful and efficient,"Abby was very efficient, helpful, and friendly.  She had no problem understanding what I wanted and quickly accomplished it.  I was very grateful for her assistance.","February 03, 2022"
Rachel,1,US,"Feb 3, 2022",Rated 5 out of 5 stars,Great customer service,I chatted with Abbey and the customer service was quick and easy.,"February 03, 2022"
Crizel Corbita,1,CA,"Feb 3, 2022",Rated 5 out of 5 stars,quick respond,,"February 03, 2022"
Christa Norris Thrasher,1,US,"Feb 3, 2022",Rated 5 out of 5 stars,Customer Service/Refund,I did not realize I had subscribed to a monthly service when I bought something a couple of months ago. Abbey from Customer Service was very quick to help and cancel the subscription as well as make sure I received a refund.,"February 03, 2022"
Drucilla Pedersen,2,US,"Feb 2, 2022",Rated 5 out of 5 stars,Thank you Abby,Thank you AbbyIt was quick and quite painless!!!,"February 02, 2022"
Susan Hill,1,US,"Feb 2, 2022",Rated 5 out of 5 stars,Abbey was my contact and she was…,Abbey was my contact and she was awesome. I don't chat very often on line but she was able to help with my problem and made me feel very comfortable. She is an asset to your company. Thank you again. Susan Hill,"February 02, 2022"
Ezekiel McAllister,2,US,"Feb 2, 2022",Rated 5 out of 5 stars,Wonderful Assistance I Receive From…,Wonderful Assistance I Receive From Abbey Thanks,"February 02, 2022"
Susan Rinaldo,2,US,"Feb 2, 2022",Rated 5 out of 5 stars,Wonderful and very helpful .,,"February 02, 2022"
Terrell,2,US,"Feb 2, 2022",Rated 5 out of 5 stars,Great experience with Abbey,Great experience with Abbey.  She was very professional.  I would also like to thank Toni who also assisted me by providing the link to be able to leave this review for Abbey.  Great teamwork and professionalism!,"February 02, 2022"
Salink,2,FR,"Feb 2, 2022",Rated 1 out of 5 stars,Impossible to register for no reason,My registration at clickbank has been definitively refused for no reason,"February 02, 2022"
Littlemonkey,13,GB,"Feb 2, 2022",Rated 5 out of 5 stars,I needed to cancel a subscription and…,"I needed to cancel a subscription and was worried it would be hard as I live In England, but I used the live chat and spoke to Kayla, who was kind, professional and friendly, I cancelled my order and was very happy, thank you. Kairen","February 02, 2022"
Tania Schoultz,4,GB,"Updated Feb 2, 2022",Rated 1 out of 5 stars,Really Disappointed with ClickBank,Really Disappointed with ClickBank - everyone is saying its the place to be for Affiliate Marketing shortly after setting up my account it was disabled... Probably because I didn't by a subscription to Spark...,"February 02, 2022"
Zizaa,1,US,"Feb 1, 2022",Rated 5 out of 5 stars,Listened and took care of the issue,Listened and took care of the issue.  Thank you.,"February 01, 2022"
